16	8	E	-2151012.512463374	200
emissionprobs	16	2	H3K4me1	1	0.04446063964822343
emissionprobs	16	3	H3K4me3	0	0.9960127687122592
emissionprobs	16	3	H3K4me3	1	0.003987231287740825
emissionprobs	16	4	H3K9me3	0	0.9841093837927583
emissionprobs	16	4	H3K9me3	1	0.01589061620724169
emissionprobs	16	5	H3k27me3	0	0.9990050286013902
emissionprobs	16	5	H3k27me3	1	9.949713986098152E-4
emissionprobs	16	6	Pol2	0	0.4524926191012001
emissionprobs	16	6	Pol2	1	0.5475073808987998
emissionprobs	16	7	p300	0	0.9840067717948149
emissionprobs	16	7	p300	1	0.015993228205185013
